八度音階,,,
八度音符,矩陣位置,行,列
Do,V1:H1,2,152
Re,V1:H2,2,153
Mi,V1:H3,2,154
Fa,V1:H4,2,155
Sol,V1:H5,2,156
La,V1:H6,2,157
Si,V1:H7,2,158
Do',V1:H8,2,159
Do,V1:H9,2,160
Re,V1:H10,2,161
Mi,V1:H11,2,162
Fa,V1:H12,2,163
Sol,V1:H13,2,164
La,V1:H14,2,165
Si,V1:H15,2,166
Do',V1:H16,2,167
Do,V1:H17,2,168
Re,V1:H18,2,169
Mi,V1:H19,2,170
Fa,V1:H20,2,171
Sol,V1:H21,2,172
Do',V2:H1,3,152
Sol,V2:H2,3,153
La,V2:H3,3,154
Si,V2:H4,3,155
Do',V2:H5,3,156
Do,V2:H6,3,157
Re,V2:H7,3,158
Mi,V2:H8,3,159
Fa,V2:H9,3,160
Sol,V2:H10,3,161
La,V2:H11,3,162
Si,V2:H12,3,163
Do',V2:H13,3,164
Do,V2:H14,3,165
Re,V2:H15,3,166
Mi,V2:H16,3,167
Fa,V2:H17,3,168
Sol,V2:H18,3,169
La,V2:H19,3,170
Si,V2:H20,3,171
La,V2:H21,3,172
Si,V3:H1,4,152
Fa,V3:H2,4,153
Do,V3:H3,4,154
Re,V3:H4,4,155
Mi,V3:H5,4,156
Fa,V3:H6,4,157
Sol,V3:H7,4,158
La,V3:H8,4,159
Si,V3:H9,4,160
Do',V3:H10,4,161
Do,V3:H11,4,162
Re,V3:H12,4,163
Mi,V3:H13,4,164
Fa,V3:H14,4,165
Sol,V3:H15,4,166
La,V3:H16,4,167
Si,V3:H17,4,168
Do',V3:H18,4,169
Do,V3:H19,4,170
Do',V3:H20,4,171
Si,V3:H21,4,172
La,V4:H1,5,152
Mi,V4:H2,5,153
Do',V4:H3,5,154
Sol,V4:H4,5,155
La,V4:H5,5,156
Si,V4:H6,5,157
Do',V4:H7,5,158
Do,V4:H8,5,159
Re,V4:H9,5,160
Mi,V4:H10,5,161
Fa,V4:H11,5,162
Sol,V4:H12,5,163
La,V4:H13,5,164
Si,V4:H14,5,165
Do',V4:H15,5,166
Do,V4:H16,5,167
Re,V4:H17,5,168
Mi,V4:H18,5,169
Re,V4:H19,5,170
