空間矩陣,,,
KIN,矩陣位置,行,列
278,V1:H1,2,66
277,V1:H2,2,67
276,V1:H3,2,68
275,V1:H4,2,69
274,V1:H5,2,70
273,V1:H6,2,71
272,V1:H7,2,72
271,V1:H8,2,73
270,V1:H9,2,74
269,V1:H10,2,75
401,V1:H11,2,76
339,V1:H12,2,77
340,V1:H13,2,78
341,V1:H14,2,79
342,V1:H15,2,80
343,V1:H16,2,81
344,V1:H17,2,82
345,V1:H18,2,83
346,V1:H19,2,84
347,V1:H20,2,85
348,V1:H21,2,86
279,V2:H1,3,66
16,V2:H2,3,67
1,V2:H3,3,68
64,V2:H4,3,69
49,V2:H5,3,70
48,V2:H6,3,71
33,V2:H7,3,72
32,V2:H8,3,73
17,V2:H9,3,74
268,V2:H10,3,75
402,V2:H11,3,76
338,V2:H12,3,77
144,V2:H13,3,78
129,V2:H14,3,79
192,V2:H15,3,80
177,V2:H16,3,81
176,V2:H17,3,82
161,V2:H18,3,83
160,V2:H19,3,84
145,V2:H20,3,85
349,V2:H21,3,86
280,V3:H1,4,66
50,V3:H2,4,67
63,V3:H3,4,68
2,V3:H4,4,69
15,V3:H5,4,70
18,V3:H6,4,71
31,V3:H7,4,72
34,V3:H8,4,73
47,V3:H9,4,74
267,V3:H10,4,75
403,V3:H11,4,76
337,V3:H12,4,77
178,V3:H13,4,78
191,V3:H14,4,79
130,V3:H15,4,80
143,V3:H16,4,81
146,V3:H17,4,82
159,V3:H18,4,83
162,V3:H19,4,84
175,V3:H20,4,85
350,V3:H21,4,86
261,V4:H1,5,66
9,V4:H2,5,67
8,V4:H3,5,68
57,V4:H4,5,69
56,V4:H5,5,70
41,V4:H6,5,71
40,V4:H7,5,72
25,V4:H8,5,73
24,V4:H9,5,74
266,V4:H10,5,75
404,V4:H11,5,76
336,V4:H12,5,77
137,V4:H13,5,78
136,V4:H14,5,79
185,V4:H15,5,80
184,V4:H16,5,81
169,V4:H17,5,82
168,V4:H18,5,83
153,V4:H19,5,84
152,V4:H20,5,85
351,V4:H21,5,86
282,V5:H1,6,66
55,V5:H2,6,67
58,V5:H3,6,68
7,V5:H4,6,69
10,V5:H5,6,70
23,V5:H6,6,71
26,V5:H7,6,72
39,V5:H8,6,73
42,V5:H9,6,74
265,V5:H10,6,75
405,V5:H11,6,76
335,V5:H12,6,77
183,V5:H13,6,78
