共時矩陣,,,
矩陣位置,KIN,行,列
V1:H1,1,2,94
V1:H2,2,2,95
V1:H3,3,2,96
V1:H4,4,2,97
V1:H5,5,2,98
V1:H6,6,2,99
V1:H7,7,2,100
V1:H8,8,2,101
V1:H9,9,2,102
V1:H10,10,2,103
V1:H11,11,2,104
V1:H12,12,2,105
V1:H13,13,2,106
V1:H14,14,2,107
V1:H15,15,2,108
V1:H16,16,2,109
V1:H17,17,2,110
V1:H18,18,2,111
V1:H19,19,2,112
V1:H20,20,2,113
V1:H21,21,2,114
V2:H1,43,3,94
V2:H2,44,3,95
V2:H3,45,3,96
V2:H4,46,3,97
V2:H5,47,3,98
V2:H6,48,3,99
V2:H7,49,3,100
V2:H8,50,3,101
V2:H9,51,3,102
V2:H10,52,3,103
V2:H11,53,3,104
V2:H12,54,3,105
V2:H13,55,3,106
V2:H14,56,3,107
V2:H15,57,3,108
V2:H16,58,3,109
V2:H17,59,3,110
V2:H18,60,3,111
V2:H19,61,3,112
V2:H20,62,3,113
V2:H21,63,3,114
V3:H1,85,4,94
V3:H2,86,4,95
V3:H3,87,4,96
V3:H4,88,4,97
V3:H5,89,4,98
V3:H6,90,4,99
V3:H7,91,4,100
V3:H8,92,4,101
V3:H9,93,4,102
V3:H10,94,4,103
V3:H11,95,4,104
V3:H12,96,4,105
V3:H13,97,4,106
V3:H14,98,4,107
V3:H15,99,4,108
V3:H16,100,4,109
V3:H17,101,4,110
V3:H18,102,4,111
V3:H19,103,4,112
V3:H20,104,4,113
V3:H21,105,4,114
V4:H1,127,5,94
V4:H2,128,5,95
V4:H3,129,5,96
V4:H4,130,5,97
V4:H5,131,5,98
V4:H6,132,5,99
V4:H7,133,5,100
V4:H8,134,5,101
V4:H9,135,5,102
V4:H10,136,5,103
V4:H11,137,5,104
V4:H12,138,5,105
V4:H13,139,5,106
V4:H14,140,5,107
V4:H15,141,5,108
V4:H16,142,5,109
V4:H17,143,5,110
V4:H18,144,5,111
V4:H19,145,5,112
V4:H20,146,5,113
V4:H21,147,5,114
V5:H1,1,6,94
V5:H2,2,6,95
V5:H3,3,6,96
V5:H4,4,6,97
V5:H5,5,6,98
V5:H6,6,6,99
V5:H7,7,6,100
V5:H8,8,6,101
V5:H9,9,6,102
V5:H10,10,6,103
V5:H11,,6,104
V5:H12,11,6,105
V5:H13,12,6,106
V5:H14,13,6,107
V5:H15,14,6,108
V5:H16,15,6,109
V5:H17,16,6,110
V5:H18,17,6,111
V5:H19,18,6,112
V5:H20,19,6,113
V5:H21,20,6,114
V6:H1,21,7,94
V6:H2,22,7,95
V6:H3,23,7,96
V6:H4,24,7,97
V6:H5,25,7,98
V6:H6,26,7,99
V6:H7,27,7,100
V6:H8,28,7,101
V6:H9,29,7,102
V6:H10,30,7,103
V6:H11,,7,104
V6:H12,31,7,105
V6:H13,32,7,106
V6:H14,33,7,107
V6:H15,34,7,108
V6:H16,35,7,109
V6:H17,36,7,110
V6:H18,37,7,111
V6:H19,38,7,112
V6:H20,39,7,113
V6:H21,40,7,114
V7:H1,41,8,94
V7:H2,42,8,95
V7:H3,43,8,96
V7:H4,44,8,97
V7:H5,45,8,98
V7:H6,46,8,99
V7:H7,47,8,100
V7:H8,48,8,101
V7:H9,49,8,102
V7:H10,50,8,103
V7:H11,,8,104
V7:H12,51,8,105
V7:H13,52,8,106
V7:H14,53,8,107
V7:H15,54,8,108
V7:H16,55,8,109
V7:H17,56,8,110
V7:H18,57,8,111
V7:H19,58,8,112
V7:H20,59,8,113
V7:H21,60,8,114
V8:H1,61,9,94
V8:H2,62,9,95
V8:H3,63,9,96
V8:H4,64,9,97
V8:H5,65,9,98
V8:H6,66,9,99
V8:H7,67,9,100
V8:H8,68,9,101
V8:H9,69,9,102
V8:H10,70,9,103
V8:H11,,9,104
V8:H12,71,9,105
V8:H13,72,9,106
V8:H14,73,9,107
V8:H15,74,9,108
V8:H16,75,9,109
V8:H17,76,9,110
V8:H18,77,9,111
V8:H19,78,9,112
V8:H20,79,9,113
V8:H21,80,9,114
V9:H1,81,10,94
V9:H2,82,10,95
V9:H3,83,10,96
V9:H4,84,10,97
V9:H5,85,10,98
V9:H6,86,10,99
V9:H7,87,10,100
V9:H8,88,10,101
V9:H9,89,10,102
V9:H10,90,10,103
V9:H11,,10,104
V9:H12,91,10,105
V9:H13,92,10,106
V9:H14,93,10,107
V9:H15,94,10,108
V9:H16,95,10,109
V9:H17,96,10,110
V9:H18,97,10,111
V9:H19,98,10,112
V9:H20,99,10,113
V9:H21,100,10,114
V10:H1,101,11,94
V10:H2,102,11,95
V10:H3,103,11,96
V10:H4,104,11,97
V10:H5,105,11,98
V10:H6,106,11,99
V10:H7,107,11,100
V10:H8,108,11,101
V10:H9,109,11,102
V10:H10,110,11,103
V10:H11,,11,104
V10:H12,111,11,105
V10:H13,112,11,106
V10:H14,113,11,107
V10:H15,114,11,108
V10:H16,115,11,109
V10:H17,116,11,110
V10:H18,117,11,111
V10:H19,118,11,112
V10:H20,119,11,113
V10:H21,120,11,114
V11:H1,121,12,94
V11:H2,122,12,95
V11:H3,123,12,96
V11:H4,124,12,97
V11:H5,125,12,98
V11:H6,126,12,99
V11:H7,127,12,100
V11:H8,128,12,101
V11:H9,129,12,102
V11:H10,130,12,103
V11:H11,,12,104
V11:H12,131,12,105
V11:H13,132,12,106
V11:H14,133,12,107
V11:H15,134,12,108
V11:H16,135,12,109
V11:H17,136,12,110
V11:H18,137,12,111
V11:H19,138,12,112
V11:H20,139,12,113
V11:H21,140,12,114
V12:H1,141,13,94
V12:H2,142,13,95
V12:H3,143,13,96
V12:H4,144,13,97
V12:H5,145,13,98
V12:H6,146,13,99
V12:H7,147,13,100
V12:H8,148,13,101
V12:H9,149,13,102
V12:H10,150,13,103
V12:H11,,13,104
V12:H12,151,13,105
V12:H13,152,13,106
V12:H14,153,13,107
V12:H15,154,13,108
V12:H16,155,13,109
V12:H17,156,13,110
V12:H18,157,13,111
V12:H19,158,13,112
V12:H20,159,13,113
V12:H21,160,13,114
V13:H1,161,14,94
V13:H2,162,14,95
V13:H3,163,14,96
V13:H4,164,14,97
V13:H5,165,14,98
V13:H6,166,14,99
V13:H7,167,14,100
V13:H8,168,14,101
V13:H9,169,14,102
V13:H10,170,14,103
V13:H11,,14,104
V13:H12,171,14,105
V13:H13,172,14,106
V13:H14,173,14,107
V13:H15,174,14,108
V13:H16,175,14,109
V13:H17,176,14,110
V13:H18,177,14,111
V13:H19,178,14,112
V13:H20,179,14,113
V13:H21,180,14,114
V14:H1,181,15,94
V14:H2,182,15,95
V14:H3,183,15,96
V14:H4,184,15,97
V14:H5,185,15,98
V14:H6,186,15,99
V14:H7,187,15,100
V14:H8,188,15,101
V14:H9,189,15,102
V14:H10,190,15,103
V14:H11,,15,104
V14:H12,191,15,105
V14:H13,192,15,106
V14:H14,193,15,107
V14:H15,194,15,108
V14:H16,195,15,109
V14:H17,196,15,110
V14:H18,197,15,111
V14:H19,198,15,112
V14:H20,199,15,113
V14:H21,200,15,114
V15:H1,201,16,94
V15:H2,202,16,95
V15:H3,203,16,96
V15:H4,204,16,97
V15:H5,205,16,98
V15:H6,206,16,99
V15:H7,207,16,100
V15:H8,208,16,101
V15:H9,209,16,102
V15:H10,210,16,103
V15:H11,,16,104
V15:H12,211,16,105
V15:H13,212,16,106
V15:H14,213,16,107
V15:H15,214,16,108
V15:H16,215,16,109
V15:H17,216,16,110
V15:H18,217,16,111
V15:H19,218,16,112
V15:H20,219,16,113
V15:H21,220,16,114
V16:H1,221,17,94
V16:H2,222,17,95
V16:H3,223,17,96
V16:H4,224,17,97
V16:H5,225,17,98
V16:H6,226,17,99
V16:H7,227,17,100
V16:H8,228,17,101
V16:H9,229,17,102
V16:H10,230,17,103
V16:H11,,17,104
V16:H12,231,17,105
V16:H13,232,17,106
V16:H14,233,17,107
V16:H15,234,17,108
V16:H16,235,17,109
V16:H17,236,17,110
V16:H18,237,17,111
V16:H19,238,17,112
V16:H20,239,17,113
V16:H21,240,17,114
V17:H1,241,18,94
V17:H2,242,18,95
V17:H3,243,18,96
V17:H4,244,18,97
V17:H5,245,18,98
V17:H6,246,18,99
V17:H7,247,18,100
V17:H8,248,18,101
V17:H9,249,18,102
V17:H10,250,18,103
V17:H11,,18,104
V17:H12,251,18,105
V17:H13,252,18,106
V17:H14,253,18,107
V17:H15,254,18,108
V17:H16,255,18,109
V17:H17,256,18,110
V17:H18,257,18,111
V17:H19,258,18,112
V17:H20,259,18,113
V17:H21,260,18,114
V18:H1,168,19,94
V18:H2,167,19,95
V18:H3,166,19,96
V18:H4,165,19,97
V18:H5,164,19,98
V18:H6,163,19,99
V18:H7,162,19,100
V18:H8,161,19,101
V18:H9,160,19,102
V18:H10,159,19,103
V18:H11,158,19,104
V18:H12,157,19,105
V18:H13,156,19,106
V18:H14,155,19,107
V18:H15,154,19,108
V18:H16,153,19,109
V18:H17,152,19,110
V18:H18,151,19,111
V18:H19,150,19,112
V18:H20,149,19,113
V18:H21,148,19,114
V19:H1,126,20,94
V19:H2,125,20,95
V19:H3,124,20,96
V19:H4,123,20,97
V19:H5,122,20,98
V19:H6,121,20,99
V19:H7,120,20,100
V19:H8,119,20,101
V19:H9,118,20,102
V19:H10,117,20,103
V19:H11,116,20,104
V19:H12,115,20,105
V19:H13,114,20,106
V19:H14,113,20,107
V19:H15,112,20,108
V19:H16,111,20,109
V19:H17,110,20,110
V19:H18,109,20,111
V19:H19,108,20,112
V19:H20,107,20,113
V19:H21,106,20,114
V20:H1,84,21,94
V20:H2,83,21,95
V20:H3,82,21,96
V20:H4,81,21,97
V20:H5,80,21,98
