時間矩陣,,,
矩陣位置,KIN,行,列
V1:H1,1,2,38
V1:H2,4,2,39
V1:H3,7,2,40
V1:H4,1,2,41
V1:H5,19,2,42
V1:H6,22,2,43
V1:H7,25,2,44
V1:H8,145,2,45
V1:H9,148,2,46
V1:H10,151,2,47
V1:H11,53,2,48
V1:H12,163,2,49
V1:H13,166,2,50
V1:H14,169,2,51
V1:H15,73,2,52
V1:H16,76,2,53
V1:H17,79,2,54
V1:H18,27,2,55
V1:H19,91,2,56
V1:H20,94,2,57
V1:H21,97,2,58
V2:H1,2,3,38
V2:H2,5,3,39
V2:H3,8,3,40
V2:H4,2,3,41
V2:H5,20,3,42
V2:H6,23,3,43
V2:H7,26,3,44
V2:H8,146,3,45
V2:H9,149,3,46
V2:H10,152,3,47
V2:H11,54,3,48
V2:H12,164,3,49
V2:H13,167,3,50
V2:H14,170,3,51
V2:H15,74,3,52
V2:H16,77,3,53
V2:H17,80,3,54
V2:H18,28,3,55
V2:H19,92,3,56
V2:H20,95,3,57
V2:H21,98,3,58
V3:H1,3,4,38
V3:H2,6,4,39
V3:H3,9,4,40
V3:H4,3,4,41
V3:H5,21,4,42
V3:H6,24,4,43
V3:H7,27,4,44
V3:H8,147,4,45
V3:H9,150,4,46
V3:H10,153,4,47
V3:H11,55,4,48
V3:H12,165,4,49
V3:H13,168,4,50
V3:H14,171,4,51
V3:H15,75,4,52
V3:H16,78,4,53
V3:H17,81,4,54
V3:H18,29,4,55
V3:H19,93,4,56
V3:H20,96,4,57
V3:H21,99,4,58
V4:H1,7,5,38
V4:H2,8,5,39
V4:H3,9,5,40
V4:H4,13,5,41
V4:H5,12,5,42
V4:H6,11,5,43
V4:H7,10,5,44
V4:H8,59,5,45
V4:H9,60,5,46
V4:H10,61,5,47
V4:H11,65,5,48
V4:H12,64,5,49
V4:H13,63,5,50
V4:H14,62,5,51
V4:H15,33,5,52
V4:H16,34,5,53
V4:H17,35,5,54
V4:H18,39,5,55
V4:H19,38,5,56
V4:H20,37,5,57
V4:H21,36,5,58
V5:H1,10,6,38
V5:H2,13,6,39
V5:H3,16,6,40
V5:H4,6,6,41
V5:H5,28,6,42
V5:H6,31,6,43
V5:H7,34,6,44
V5:H8,154,6,45
V5:H9,157,6,46
V5:H10,160,6,47
V5:H11,58,6,48
V5:H12,172,6,49
V5:H13,175,6,50
V5:H14,178,6,51
V5:H15,82,6,52
V5:H16,85,6,53
V5:H17,88,6,54
V5:H18,32,6,55
V5:H19,100,6,56
V5:H20,103,6,57
V5:H21,106,6,58
V6:H1,11,7,38
V6:H2,14,7,39
V6:H3,17,7,40
V6:H4,5,7,41
V6:H5,29,7,42
V6:H6,32,7,43
V6:H7,35,7,44
V6:H8,155,7,45
V6:H9,158,7,46
V6:H10,161,7,47
V6:H11,57,7,48
V6:H12,173,7,49
V6:H13,176,7,50
V6:H14,179,7,51
V6:H15,83,7,52
V6:H16,86,7,53
V6:H17,89,7,54
V6:H18,31,7,55
V6:H19,101,7,56
V6:H20,104,7,57
V6:H21,107,7,58
V7:H1,12,8,38
