卓爾金曆矩陣,,,,,,,,,
矩陣位置,KIN,行,列,綠色金字塔,紅色金字塔,白色金字塔,藍色金字塔,黃色金字塔,五大神諭心電感應頻率
V01:H01,1,2,124,紅龍,紅龍,白鏡,藍猴,黃太陽,1344
V01:H02,2,2,125,白風,紅地球,白巫師,藍風暴,黃人,1542
V01:H03,3,2,126,藍夜,紅天行者,白鏡,藍手,黃戰士,1413
V01:H04,4,2,127,黃種子,紅地球,白巫師,藍鷹,黃太陽,1458
V01:H05,5,2,128,紅蛇,紅天行者,白巫師,藍鷹,黃戰士,1440
V01:H06,6,2,129,白世界橋,紅天行者,白世界橋,藍鷹,黃戰士,1464
V01:H07,7,2,130,藍手,紅地球,白巫師,藍風暴,黃人,1689
V01:H08,8,2,131,黃星星,紅天行者,白鏡,藍猴,黃人,1647
V01:H09,9,2,132,紅月,紅蛇,白狗,藍風暴,黃人,1623
V01:H10,10,2,133,白狗,紅月,白鏡,藍猴,黃太陽,1737
V01:H11,11,2,134,藍猴,紅龍,白狗,藍猴,黃星星,1335
V01:H12,12,2,135,黃人,紅月,白風,藍手,黃種子,1149
V01:H13,13,2,136,紅天行者,紅地球,白世界橋,藍夜,黃星星,1431
V01:H14,14,2,137,白巫師,紅蛇,白巫師,藍手,黃種子,1221
V01:H15,15,2,138,藍鷹,紅蛇,白世界橋,藍手,黃種子,1245
V01:H16,16,2,139,黃戰士,紅蛇,白世界橋,藍夜,黃太陽,1401
V01:H17,17,2,140,紅地球,紅天行者,白風,藍手,黃種子,1236
V01:H18,18,2,141,白鏡,紅龍,白世界橋,藍夜,黃星星,1230
V01:H19,19,2,142,藍風暴,紅月,白風,藍風暴,黃太陽,1680
V01:H20,20,2,143,黃太陽,紅龍,白狗,藍風暴,黃人,1551
V02:H01,21,3,124,紅龍,紅蛇,白鏡,藍猴,黃太陽,1524
V02:H02,22,3,125,白風,紅地球,白鏡,藍風暴,黃人,1668
V02:H03,23,3,126,藍夜,紅天行者,白鏡,藍猴,黃戰士,1434
V02:H04,24,3,127,黃種子,紅地球,白巫師,藍鷹,黃種子,1134
V02:H05,25,3,128,紅蛇,紅地球,白巫師,藍鷹,黃戰士,1521
V02:H06,26,3,129,白世界橋,紅天行者,白狗,藍鷹,黃戰士,1473
V02:H07,27,3,130,藍手,紅地球,白巫師,藍手,黃人,1572
V02:H08,28,3,131,黃星星,紅天行者,白鏡,藍猴,黃太陽,1743
V02:H09,29,3,132,紅月,紅天行者,白狗,藍風暴,黃人,1650
V02:H10,30,3,133,白狗,紅月,白世界橋,藍猴,黃太陽,1629
V02:H11,31,3,134,藍猴,紅龍,白狗,藍風暴,黃星星,1431
V02:H12,32,3,135,黃人,紅月,白風,藍手,黃人,1377
V02:H13,33,3,136,紅天行者,紅蛇,白世界橋,藍夜,黃星星,1323
V02:H14,34,3,137,白巫師,紅蛇,白鏡,藍手,黃種子,1347
V02:H15,35,3,138,藍鷹,紅蛇,白世界橋,藍猴,黃種子,1266
V02:H16,36,3,139,黃戰士,紅蛇,白世界橋,藍夜,黃種子,1077
V02:H17,37,3,140,紅地球,紅地球,白風,藍手,黃種子,1317
V02:H18,38,3,141,白鏡,紅龍,白狗,藍夜,黃星星,1239
V02:H19,39,3,142,藍風暴,紅月,白風,藍夜,黃太陽,1398
V02:H20,40,3,143,黃太陽,紅龍,白狗,藍風暴,黃太陽,1647
V03:H01,41,4,124,紅龍,紅天行者,白鏡,藍猴,黃太陽,1551
V03:H02,42,4,125,白風,紅地球,白世界橋,藍風暴,黃人,1560
V03:H03,43,4,126,藍夜,紅天行者,白鏡,藍風暴,黃戰士,1530
V03:H04,44,4,127,黃種子,紅地球,白巫師,藍鷹,黃人,1362
V03:H05,45,4,128,紅蛇,紅蛇,白巫師,藍鷹,黃戰士,1413
V03:H06,46,4,129,白世界橋,紅天行者,白鏡,藍鷹,黃戰士,1572
V03:H07,47,4,130,藍手,紅地球,白巫師,藍猴,黃人,1593
V03:H08,48,4,131,黃星星,紅天行者,白鏡,藍猴,黃種子,1419
V03:H09,49,4,132,紅月,紅地球,白狗,藍風暴,黃人,1731
V03:H10,50,4,133,白狗,紅月,白狗,藍猴,黃太陽,1638
V03:H11,51,4,134,藍猴,紅龍,白狗,藍夜,黃星星,1149
V03:H12,52,4,135,黃人,紅月,白風,藍手,黃戰士,1338
V03:H13,53,4,136,紅天行者,紅天行者,白世界橋,藍夜,黃星星,1350
V03:H14,54,4,137,白巫師,紅蛇,白世界橋,藍手,黃種子,1239
V03:H15,55,4,138,藍鷹,紅蛇,白世界橋,藍風暴,黃種子,1362
V03:H16,56,4,139,黃戰士,紅蛇,白世界橋,藍夜,黃人,1305
V03:H17,57,4,140,紅地球,紅蛇,白風,藍手,黃種子,1209
V03:H18,58,4,141,白鏡,紅龍,白鏡,藍夜,黃星星,1338
V03:H19,59,4,142,藍風暴,紅月,白風,藍猴,黃太陽,1584
V03:H20,60,4,143,黃太陽,紅龍,白狗,藍風暴,黃種子,1323
V04:H01,61,5,124,紅龍,紅地球,白鏡,藍猴,黃太陽,1632
V04:H02,62,5,125,白風,紅地球,白狗,藍風暴,黃人,1569
V04:H03,63,5,126,藍夜,紅天行者,白鏡,藍夜,黃戰士,1248
V04:H04,64,5,127,黃種子,紅地球,白巫師,藍鷹,黃戰士,1323
