烏爾諧波盧恩符文,,,,
代號,BMU,八度音階,說明,意識流
065,403,"第1個八度音階
第9股
神聖天命的八度音階",神聖天命的八度音階「在！」,AC
066,32,"第1個八度音階
第9股
神聖天命的八度音階",神聖天命建立第二創世的時間,AC
067,374,"第1個八度音階
第9股
神聖天命的八度音階",神聖天命建立第二創世的空間,AC
068,109,"第1個八度音階
第9股
神聖天命的八度音階",神聖天命建立第二創世的蒼穹,AC
069,337,"第1個八度音階
第9股
神聖天命的八度音階",蒼穹劃分時間,AC
070,178,"第1個八度音階
第9股
神聖天命的八度音階",蒼穹劃分空間,AC
071,239,"第1個八度音階
第9股
神聖天命的八度音階",神聖天命團結時空,AC
072,292,"第1個八度音階
第9股
神聖天命的八度音階",時空以「一」的宇宙心智建立宇宙,AC
073,72,"第2個八度音階
第10股
宇宙的火之樹的八度音階",以宇宙的火之樹來認識宇宙創世的誡命,AC
074,415,"第2個八度音階
第10股
宇宙的火之樹的八度音階",火之樹確定了時間之環,AC
075,145,"第2個八度音階
第10股
宇宙的火之樹的八度音階",火之樹擴展至空間的四個象限,AC
076,390,"第2個八度音階
第10股
宇宙的火之樹的八度音階",宇宙創世啟示蒼穹的誡命,AC
077,210,"第2個八度音階
第10股
宇宙的火之樹的八度音階",蒼穹確定時間的日夜更迭,AC
078,357,"第2個八度音階
第10股
宇宙的火之樹的八度音階",日與夜確定宇宙的空間,AC
079,316,"第2個八度音階
第10股
宇宙的火之樹的八度音階",宇宙的火之樹產生地球行星的心智,AC
080,267,"第2個八度音階
第10股
宇宙的火之樹的八度音階",宇宙的火之樹重返源頭成為星體的心智,AC
081,402,"第3個八度音階
第11股
銀河星系全體的八度音階",放射性的起源建立了銀河星系的生命總體,AC
082,31,"第3個八度音階
第11股
銀河星系生命全體的八度音階",銀河星系的生命總體進化為時間,AC
083,373,"第3個八度音階
第11股
銀河星系生命全體的八度音階",銀河星系的生命總體擴展進入空間,AC
084,108,"第3個八度音階
第11股
銀河星系生命全體的八度音階",銀河星系的生命總體成為傳輸的媒介,AC
085,336,"第3個八度音階
第11股
銀河星系生命全體的八度音階",銀河星系的生命總體開闢時間的通道,AC
086,177,"第3個八度音階
第11股
銀河星系生命全體的八度音階",銀河星系的生命總體開闢空間的通道,AC
087,238,"第3個八度音階
第11股
銀河星系生命全體的八度音階",時間團結銀河星系的生命總體,AC
088,291,"第3個八度音階
第11股
銀河星系生命全體的八度音階",銀河星系的生命具有宇宙的意識,AC
089,71,"第4個八度音階
第12股
銀河星系藝術全體的八度音階",型態的發生建立銀河星系的藝術總體,CA
090,414,"第4個八度音階
第12股
銀河星系藝術全體的八度音階",時間明確地界定了銀河星系的藝術總體,CA
091,144,"第4個八度音階
第12股
銀河星系藝術全體的八度音階",銀河星系的藝術總體明確地界定了空間,CA
092,389,"第4個八度音階
第12股
銀河星系藝術全體的八度音階",銀河星系的藝術總體成為實相的結構,CA
093,209,"第4個八度音階
第12股
銀河星系藝術全體的八度音階",藉由時間進化了實相的結構,CA
094,356,"第4個八度音階
第12股
銀河星系藝術全體的八度音階",實相的結構成為空間的建築結構,CA
095,315,"第4個八度音階
第12股
銀河星系藝術全體的八度音階",銀河星系的藝術總體成為了實相的靜心冥想,CA
096,266,"第4個八度音階
第12股
銀河星系藝術全體的八度音階",銀河星系的藝術總體賦予宇宙意識形式,CA
097,143,"第5個八度音階
第13股
上升與下降結合的八度音階",上升與下降的團結,CA
098,413,"第5個八度音階
第13股
上升與下降結合的八度音階",上升與下降的團結使時間保持均衡,CA
099,208,"第5個八度音階
第13股
上升與下降結合的八度音階",上升與下降的團結使空 間完美,CA
100,388,"第5個八度音階
第13股
上升與下降結合的八度音階",上升與下降的團結建立宇宙空間,CA
101,265,"第5個八度音階
第13股
上升與下降結合的八度音階",在時間之中實行誡命的系統,CA
102,355,"第5個八度音階
第13股
上升與下降結合的八度音階",誡命的系統進化宇宙空間,CA
103,314,"第5個八度音階
第13股
上升與下降結合的八度音階",誡命的通道成為自我進化,CA
104,70,"第5個八度音階
第13股
上升與下降結合的八度音階",誡命的通道創造宇宙秩序,CA
105,401,"第6個八度音階
第14股
無限心智波的八度音階",無限心智波的八度音階,CA
106,30,"第6個八度音階
第14股
無限心智波的八度音階",無限心智波在時間中漂浮,CA
107,335,"第6個八度音階
第14股
無限心智波的八度音階",無限心智波照亮空間,CA
108,107,"第6個八度音階
第14股
無限心智波的八度音階",無限心智波成為醒著的意識,CA
109,290,"第6個八度音階
第14股
無限心智波的八度音階",以時間確認醒著的意識,CA
110,176,"第6個八度音階
第14股
無限心智波的八度音階",醒著的意識辨識出空間,CA
111,237,"第6個八度音階
第14股
無限心智波的八度音階",無限心智波反射出無限,CA
112,372,"第6個八度音階
第14股
無限心智波的八度音階",無限心智波進化出無限,CA
