白烏龜,,
第幾天,位置,說明
01,28,"銀河業力流
前意識位面
天堂之旅"
02,27,"宇宙九力
無意識位面
天堂之旅"
03,26,"宇宙第十三力
清醒意識位面
天堂之旅"
04,25,"宇宙第五力
持續意識位面
天堂之旅"
05,24,"宇宙四力
超意識位面
天堂之旅"
06,23,"太陽預言流
潛意識位面
天堂之旅"
07,23,"太陽預言流
潛意識位面
天堂之旅"
08,23,"太陽預言流
潛意識位面
天堂之旅"
09,23,"太陽預言流
潛意識位面
天堂之旅"
10,23,"太陽預言流
潛意識位面
天堂之旅"
11,23,"太陽預言流
潛意識位面
天堂之旅"
12,23,"太陽預言流
潛意識位面
天堂之旅"
13,23,"太陽預言流
潛意識位面
天堂之旅"
14,23,"太陽預言流
潛意識位面
天堂之旅"
15,23,"太陽預言流
潛意識位面
天堂之旅"
16,23,"太陽預言流
潛意識位面
天堂之旅"
17,23,"太陽預言流
潛意識位面
天堂之旅"
18,23,"太陽預言流
潛意識位面
天堂之旅"
19,23,"太陽預言流
潛意識位面
天堂之旅"
20,23,"太陽預言流
潛意識位面
天堂之旅"
21,23,"太陽預言流
潛意識位面
天堂之旅"
22,23,"太陽預言流
潛意識位面
天堂之旅"
23,23,"太陽預言流
潛意識位面
天堂之旅
瑪雅情人節"
24,24,"宇宙四力
超意識位面
天堂之旅"
25,25,"宇宙第五力
持續意識位面
天堂之旅"
26,26,"宇宙第十三力
清醒意識位面
天堂之旅"
27,27,"宇宙九力
無意識位面
天堂之旅"
28,28,"銀河業力流
前意識位面
天堂之旅"
