KIN,主印記,波符加印記,圖騰
1,磁性紅龍,紅龍波符磁性紅龍,紅龍
2,月亮白風,紅龍波符月亮白風,白風
3,電力藍夜,紅龍波符電力藍夜,藍夜
4,自我存在黃種子,紅龍波符自我存在黃種子,黃種子
5,超頻紅蛇,紅龍波符超頻紅蛇,紅蛇
6,韻律白世界橋,紅龍波符韻律白世界橋,白世界橋
7,共振藍手,紅龍波符共振藍手,藍手
8,銀河星系黃星星,紅龍波符銀河星系黃星星,黃星星
9,太陽紅月,紅龍波符太陽紅月,紅月
10,行星白狗,紅龍波符行星白狗,白狗
11,光譜藍猴,紅龍波符光譜藍猴,藍猴
12,水晶黃人,紅龍波符水晶黃人,黃人
13,宇宙紅天行者,紅龍波符宇宙紅天行者,紅天行者
14,磁性白巫師,白巫師波符磁性白巫師,白巫師
15,月亮藍鷹,白巫師波符月亮藍鷹,藍鷹
16,電力黃戰士,白巫師波符電力黃戰士,黃戰士
17,自我存在紅地球,白巫師波符自我存在紅地球,紅地球
18,超頻白鏡,白巫師波符超頻白鏡,白鏡
19,韻律藍風暴,白巫師波符韻律藍風暴,藍風暴
20,共振黃太陽,白巫師波符共振黃太陽,黃太陽
21,銀河星系紅龍,白巫師波符銀河星系紅龍,紅龍
22,太陽白風,白巫師波符太陽白風,白風
23,行星藍夜,白巫師波符行星藍夜,藍夜
24,光譜黃種子,白巫師波符光譜黃種子,黃種子
25,水晶紅蛇,白巫師波符水晶紅蛇,紅蛇
26,宇宙白世界橋,白巫師波符宇宙白世界橋,白世界橋
27,磁性藍手,藍手波符磁性藍手,藍手
28,月亮黃星星,藍手波符月亮黃星星,黃星星
29,電力紅月,藍手波符電力紅月,紅月
30,自我存在白狗,藍手波符自我存在白狗,白狗
31,超頻藍猴,藍手波符超頻藍猴,藍猴
32,韻律黃人,藍手波符韻律黃人,黃人
33,共振紅天行者,藍手波符共振紅天行者,紅天行者
34,銀河星系白巫師,藍手波符銀河星系白巫師,白巫師
35,太陽藍鷹,藍手波符太陽藍鷹,藍鷹
36,行星黃戰士,藍手波符行星黃戰士,黃戰士
37,光譜紅地球,藍手波符光譜紅地球,紅地球
38,水晶白鏡,藍手波符水晶白鏡,白鏡
39,宇宙藍風暴,藍手波符宇宙藍風暴,藍風暴
40,磁性黃太陽,黃太陽波符磁性黃太陽,黃太陽
41,月亮紅龍,黃太陽波符月亮紅龍,紅龍
42,電力白風,黃太陽波符電力白風,白風
43,自我存在藍夜,黃太陽波符自我存在藍夜,藍夜
44,超頻黃種子,黃太陽波符超頻黃種子,黃種子
45,韻律紅蛇,黃太陽波符韻律紅蛇,紅蛇
46,共振白世界橋,黃太陽波符共振白世界橋,白世界橋
47,銀河星系藍手,黃太陽波符銀河星系藍手,藍手
48,太陽黃星星,黃太陽波符太陽黃星星,黃星星
49,行星紅月,黃太陽波符行星紅月,紅月
50,光譜白狗,黃太陽波符光譜白狗,白狗
51,水晶藍猴,黃太陽波符水晶藍猴,藍猴
52,宇宙黃人,黃太陽波符宇宙黃人,黃人
53,磁性紅天行者,紅天行者波符磁性紅天行者,紅天行者
54,月亮白巫師,紅天行者波符月亮白巫師,白巫師
55,電力藍鷹,紅天行者波符電力藍鷹,藍鷹
56,自我存在黃戰士,紅天行者波符自我存在黃戰士,黃戰士
57,超頻紅地球,紅天行者波符超頻紅地球,紅地球
58,韻律白鏡,紅天行者波符韻律白鏡,白鏡
59,共振藍風暴,紅天行者波符共振藍風暴,藍風暴
60,銀河星系黃太陽,紅天行者波符銀河星系黃太陽,黃太陽
61,太陽紅龍,紅天行者波符太陽紅龍,紅龍
62,行星白風,紅天行者波符行星白風,白風
63,光譜藍夜,紅天行者波符光譜藍夜,藍夜
64,水晶黃種子,紅天行者波符水晶黃種子,黃種子
65,宇宙紅蛇,紅天行者波符宇宙紅蛇,紅蛇
66,磁性白世界橋,白世界橋波符磁性白世界橋,白世界橋
67,月亮藍手,白世界橋波符月亮藍手,藍手
68,電力黃星星,白世界橋波符電力黃星星,黃星星
69,自我存在紅月,白世界橋波符自我存在紅月,紅月
70,超頻白狗,白世界橋波符超頻白狗,白狗
71,韻律藍猴,白世界橋波符韻律藍猴,藍猴
72,共振黃人,白世界橋波符共振黃人,黃人
73,銀河星系紅天行者,白世界橋波符銀河星系紅天行者,紅天行者
74,太陽白巫師,白世界橋波符太陽白巫師,白巫師
75,行星藍鷹,白世界橋波符行星藍鷹,藍鷹
76,光譜黃戰士,白世界橋波符光譜黃戰士,黃戰士
77,水晶紅地球,白世界橋波符水晶紅地球,紅地球
78,宇宙白鏡,白世界橋波符宇宙白鏡,白鏡
79,磁性藍風暴,藍風暴波符磁性藍風暴,藍風暴
80,月亮黃太陽,藍風暴波符月亮黃太陽,黃太陽
81,電力紅龍,藍風暴波符電力紅龍,紅龍
82,自我存在白風,藍風暴波符自我存在白風,白風
83,超頻藍夜,藍風暴波符超頻藍夜,藍夜
84,韻律黃種子,藍風暴波符韻律黃種子,黃種子
85,共振紅蛇,藍風暴波符共振紅蛇,紅蛇
86,銀河星系白世界橋,藍風暴波符銀河星系白世界橋,白世界橋
87,太陽藍手,藍風暴波符太陽藍手,藍手
88,行星黃星星,藍風暴波符行星黃星星,黃星星
89,光譜紅月,藍風暴波符光譜紅月,紅月
90,水晶白狗,藍風暴波符水晶白狗,白狗
91,宇宙藍猴,藍風暴波符宇宙藍猴,藍猴
92,磁性黃人,黃人波符磁性黃人,黃人
93,月亮紅天行者,黃人波符月亮紅天行者,紅天行者
94,電力白巫師,黃人波符電力白巫師,白巫師
95,自我存在藍鷹,黃人波符自我存在藍鷹,藍鷹
96,超頻黃戰士,黃人波符超頻黃戰士,黃戰士
97,韻律紅地球,黃人波符韻律紅地球,紅地球
98,共振白鏡,黃人波符共振白鏡,白鏡
99,銀河星系藍風暴,黃人波符銀河星系藍風暴,藍風暴
100,太陽黃太陽,黃人波符太陽黃太陽,黃太陽
101,行星紅龍,黃人波符行星紅龍,紅龍
102,光譜白風,黃人波符光譜白風,白風
103,水晶藍夜,黃人波符水晶藍夜,藍夜
104,宇宙黃種子,黃人波符宇宙黃種子,黃種子
105,磁性紅蛇,紅蛇波符磁性紅蛇,紅蛇
106,月亮白世界橋,紅蛇波符月亮白世界橋,白世界橋
107,電力藍手,紅蛇波符電力藍手,藍手
108,自我存在黃星星,紅蛇波符自我存在黃星星,黃星星
109,超頻紅月,紅蛇波符超頻紅月,紅月
110,韻律白狗,紅蛇波符韻律白狗,白狗
111,共振藍猴,紅蛇波符共振藍猴,藍猴
112,銀河星系黃人,紅蛇波符銀河星系黃人,黃人
113,太陽紅天行者,紅蛇波符太陽紅天行者,紅天行者
114,行星白巫師,紅蛇波符行星白巫師,白巫師
115,光譜藍鷹,紅蛇波符光譜藍鷹,藍鷹
116,水晶黃戰士,紅蛇波符水晶黃戰士,黃戰士
117,宇宙紅地球,紅蛇波符宇宙紅地球,紅地球
118,磁性白鏡,白鏡波符磁性白鏡,白鏡
119,月亮藍風暴,白鏡波符月亮藍風暴,藍風暴
120,電力黃太陽,白鏡波符電力黃太陽,黃太陽
121,自我存在紅龍,白鏡波符自我存在紅龍,紅龍
122,超頻白風,白鏡波符超頻白風,白風
123,韻律藍夜,白鏡波符韻律藍夜,藍夜
124,共振黃種子,白鏡波符共振黃種子,黃種子
125,銀河星系紅蛇,白鏡波符銀河星系紅蛇,紅蛇
