年份,起始KIN
2117,217
2116,112
2115,7
2114,162
2113,57
2112,212
2111,107
2110,2
2109,157
2108,52
2107,207
2106,102
2105,257
2104,152
2103,47
2102,202
2101,97
2100,252
2099,147
2098,42
2097,197
2096,92
2095,247
2094,142
2093,37
2092,192
2091,87
2090,242
2089,137
2088,32
2087,187
2086,82
2085,237
2084,132
2083,27
2082,182
2081,77
2080,232
2079,127
2078,22
2077,177
2076,72
2075,227
2074,122
2073,17
2072,172
2071,67
2070,222
2069,117
2068,12
2067,167
2066,62
2065,217
2064,112
2063,7
2062,162
2061,57
2060,212
2059,107
2058,2
2057,157
2056,52
2055,207
2054,102
2053,257
2052,152
2051,47
2050,202
2049,97
2048,252
2047,147
2046,42
2045,197
2044,92
2043,247
2042,142
2041,37
2040,192
2039,87
2038,242
2037,137
2036,32
2035,187
2034,82
2033,237
2032,132
2031,27
2030,182
2029,77
2028,232
2027,127
2026,22
2025,177
2024,72
2023,227
2022,122
2021,17
2020,172
2019,67
2018,222
2017,117
2016,12
2015,167
2014,62
2013,217
2012,112
2011,7
2010,162
2009,57
2008,212
2007,107
2006,2
2005,157
2004,52
2003,207
2002,102
2001,257
2000,152
1999,47
1998,202
1997,97
1996,252
1995,147
1994,42
1993,197
1992,92
1991,247
1990,142
1989,37
1988,192
1987,87
1986,242
1985,137
1984,32
1983,187
1982,82
1981,237
1980,132
1979,27
1978,182
1977,77
1976,232
1975,127
1974,22
1973,177
1972,72
1971,227
1970,122
1969,17
1968,172
1967,67
1966,222
1965,117
1964,12
1963,167
1962,62
1961,217
1960,112
1959,7
1958,162
1957,57
1956,212
1955,107
1954,2
1953,157
1952,52
1951,207
1950,102
1949,257
1948,152
1947,47
1946,202
1945,97
1944,252
1943,147
1942,42
1941,197
1940,92
1939,247
1938,142
1937,37
1936,192
1935,87
1934,242
1933,137
1932,32
1931,187
1930,82
1929,237
1928,132
1927,27
1926,182
1925,77
1924,232
1923,127
1922,22
1921,177
1920,72
1919,227
1918,122
1917,17
1916,172
1915,67
1914,222
1913,117
1912,12
