,,,,,,,,七價路徑,,,時間母體矩陣,,,,,,,空間母體矩陣,,,,,,,共時母體矩陣,,,,,,,主校準頻率(MCF),,,,HUNAB KU 21,,
對應等離子,本周第幾天,對應年,對應月,對應日,對應印記,國曆表示方式,瑪雅生日,對應kin,對應矩陣位置,對應BMU,對應KIN,對應矩陣位置,時間矩陣,空間矩陣,共時矩陣,TFI,BMU,對應KIN,對應矩陣位置,時間矩陣,空間矩陣,共時矩陣,TFI,BMU,對應KIN,對應矩陣位置,時間矩陣,空間矩陣,共時矩陣,TFI,BMU,對應矩陣位置,TFI,BMU,對等印記,對應矩陣位置,TFI,BMU
SELI海底輪,2,1994,8,10,4,08/10,01.16,291,V11:H5,291,74,V2:H15,74,192,57,323,130,4,V9:H4,80,4,84,168,240,4,V1:H4,1,275,4,280,44,V16:H7,771,330,251,V9:H10,1749,426
DALI頂輪,1,1994,8,9,3,08/09,01.15,108,V11:H2,108,73,V1:H15,73,342,15,430,55,3,V8:H3,223,3,63,289,180,3,V1:H3,7,276,3,286,43,V2:H8,1005,123,225,V3:H16,1521,198
-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,0,-,-,0,0,0,-,-,-
-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,0,-,-,0,0,0,-,-,-
-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,0,-,-,0,0,0,-,-,-
-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,0,-,-,0,0,0,-,-,-
-,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,0,-,-,-,-,-,-,0,-,-,0,0,0,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1776,,,,3270,
