,,,,矩陣座標,,BMU,音符,對應矩陣,對應數字,,TFI
1,七價路徑,SELI海底輪,,V11:H5,,291,Mi,,,,
,,,,,,,,,,,
2,時間母體矩陣,NS 1.7 01.16,,V2:H15,,130,Re,時間母體矩陣,74,,323
,,,,,,,,空間母體矩陣,192,,
,,,,,,,,共時母體矩陣,57,,
,,,,,,,,,,,
3,空間母體矩陣,KIN 4,,V9:H4,,240,Do',時間母體矩陣,80,,168
,,,,,,,,空間母體矩陣,4,,
,,,,,,,,共時母體矩陣,84,,
,,,,,,,,,,,
4,共時母體矩陣,KIN 4,,V5:H4,,244,Fa,時間母體矩陣,6,,17
,,,,,,,,空間母體矩陣,7,,
,,,,,,,,共時母體矩陣,4,,
,,,,,,,,,,,
5,主校準頻率(MCF),,,TFI總和-441倍數=,,67,Mi,508,,,
,,,,V7:H21,,,,,,,
SYNCHRONOTRON對等印記,,,,TFI總和-260倍數=,,248,,KIN 248,磁性黃星星,,
,,,,,,,,,,,
6,諧波頻率,,,TFI總和-441倍數=,,12,Fa,1005+771,,,1776
,一周主校準頻率(MCF)累加,,,,,,,,,,
,DALI頂輪 - SELI海底輪,,,V21:H10,,,,,,,
,,,,,,,,,,,
7,HUNAB KU 21,,,TFI總和-441倍數=,,426,Re,1458+291,,,1749
,五大神諭力量心電感應頻率+七價路徑之門,,,,,,,,,,
,,,,V9:H10,,,,,,,
,,,,,,,,,,,
8,諧波頻率,,,TFI總和-441倍數=,,183,Si,1521+1749,,,3270
,一週HUNAB KU 21 TFI累加,,,,,,,,,,
,DALI頂輪 - SELI海底輪,,,V5:H3,,,,,,,
