合盤印記,圖騰/調性,對應圖騰,姓名,出生年,月,日,顯示日期,瑪雅生日,對應瑪雅年,對應星際年,對應KIN,星際流年,波符加印記,KIN,主印記,主印記(含波符),波符加印記城堡,波符加印記城堡銀河季節
第1位主印記,圖騰,紅天行者,雅婷(徐太),,,,,,,,,,,-,-,-,-,-
第2位主印記,圖騰,紅月,A,,,,,,,,,,,-,-,-,-,-
第3位主印記,圖騰,,,,,,,,,,,,,-,-,-,-,-
第4位主印記,圖騰,,,,,,,,,,,,,-,-,-,-,-
第5位主印記,,,,,,,,,,,,,,-,-,-,-,-
第6位主印記,,,,,,,,,,,,,,-,-,-,-,-
第7位主印記,,,,,,,,,,,,,,-,-,-,-,-
第8位主印記,,,,,,,,,,,,,,-,-,-,-,-
第9位主印記,,,,,,,,,,,,,,-,-,-,-,-
第10位主印記,,,,,,,,,,,,,,-,-,-,-,-
第11位主印記,,,,,,,,,,,,,,-,-,-,-,-
第12位主印記,,,,,,,,,,,,,,-,-,-,-,-
第13位主印記,,,,,,,,,,,,,,-,-,-,-,-
第14位主印記,,,,,,,,,,,,,,-,-,-,-,-
第15位主印記,,,,,,,,,,,,,,-,-,-,-,-
第16位主印記,,,,,,,,,,,,,,-,-,-,-,-
第17位主印記,,,,,,,,,,,,,,-,-,-,-,-
第18位主印記,,,,,,,,,,,,,,-,-,-,-,-
第19位主印記,,,,,,,,,,,,,,-,-,-,-,-
第20位主印記,,,,,,,,,,,,,,-,-,-,-,-
第21位主印記,,,,,,,,,,,,,,-,-,-,-,-
第22位主印記,,,,,,,,,,,,,,-,-,-,-,-
第23位主印記,,,,,,,,,,,,,,-,-,-,-,-
第24位主印記,,,,,,,,,,,,,,-,-,-,-,-
第25位主印記,,,,,,,,,,,,,,-,-,-,-,-
第26位主印記,,,,,,,,,,,,,,-,-,-,-,-
第27位主印記,,,,,,,,,,,,,,-,-,-,-,-
第28位主印記,,,,,,,,,,,,,,-,-,-,-,-
第29位主印記,,,,,,,,,,,,,,-,-,-,-,-
第30位主印記,,,,,,,,,,,,,,-,-,-,-,-
第31位主印記,,,,,,,,,,,,,,-,-,-,-,-
第32位主印記,,,,,,,,,,,,,,-,-,-,-,-
第33位主印記,,,,,,,,,,,,,,-,-,-,-,-
第34位主印記,,,,,,,,,,,,,,-,-,-,-,-
第35位主印記,,,,,,,,,,,,,,-,-,-,-,-
第36位主印記,,,,,,,,,,,,,,-,-,-,-,-
第37位主印記,,,,,,,,,,,,,,-,-,-,-,-
第38位主印記,,,,,,,,,,,,,,-,-,-,-,-
第39位主印記,,,,,,,,,,,,,,-,-,-,-,-
第40位主印記,,,,,,,,,,,,,,-,-,-,-,-
第41位主印記,,,,,,,,,,,,,,-,-,-,-,-
第42位主印記,,,,,,,,,,,,,,-,-,-,-,-
第43位主印記,,,,,,,,,,,,,,-,-,-,-,-
第44位主印記,,,,,,,,,,,,,,-,-,-,-,-
第45位主印記,,,,,,,,,,,,,,-,-,-,-,-
第46位主印記,,,,,,,,,,,,,,-,-,-,-,-
第47位主印記,,,,,,,,,,,,,,-,-,-,-,-
第48位主印記,,,,,,,,,,,,,,-,-,-,-,-
第49位主印記,,,,,,,,,,,,,,-,-,-,-,-
第50位主印記,,,,,,,,,,,,,,-,-,-,-,-
第51位主印記,,,,,,,,,,,,,,-,-,-,-,-
第52位主印記,,,,,,,,,,,,,,-,-,-,-,-
第53位主印記,,,,,,,,,,,,,,-,-,-,-,-
第54位主印記,,,,,,,,,,,,,,-,-,-,-,-
第55位主印記,,,,,,,,,,,,,,-,-,-,-,-
第56位主印記,,,,,,,,,,,,,,-,-,-,-,-
第57位主印記,,,,,,,,,,,,,,-,-,-,-,-
第58位主印記,,,,,,,,,,,,,,-,-,-,-,-
第59位主印記,,,,,,,,,,,,,,-,-,-,-,-
第60位主印記,,,,,,,,,,,,,,-,-,-,-,-
第61位主印記,,,,,,,,,,,,,,-,-,-,-,-
第62位主印記,,,,,,,,,,,,,,-,-,-,-,-
第63位主印記,,,,,,,,,,,,,,-,-,-,-,-
第64位主印記,,,,,,,,,,,,,,-,-,-,-,-
第65位主印記,,,,,,,,,,,,,,-,-,-,-,-
第66位主印記,,,,,,,,,,,,,,-,-,-,-,-
第67位主印記,,,,,,,,,,,,,,-,-,-,-,-
第68位主印記,,,,,,,,,,,,,,-,-,-,-,-
第69位主印記,,,,,,,,,,,,,,-,-,-,-,-
第70位主印記,,,,,,,,,,,,,,-,-,-,-,-
第71位主印記,,,,,,,,,,,,,,-,-,-,-,-
第72位主印記,,,,,,,,,,,,,,-,-,-,-,-
第73位主印記,,,,,,,,,,,,,,-,-,-,-,-
第74位主印記,,,,,,,,,,,,,,-,-,-,-,-
第75位主印記,,,,,,,,,,,,,,-,-,-,-,-
第76位主印記,,,,,,,,,,,,,,-,-,-,-,-
第77位主印記,,,,,,,,,,,,,,-,-,-,-,-
第78位主印記,,,,,,,,,,,,,,-,-,-,-,-
第79位主印記,,,,,,,,,,,,,,-,-,-,-,-
第80位主印記,,,,,,,,,,,,,,-,-,-,-,-
第81位主印記,,,,,,,,,,,,,,-,-,-,-,-
第82位主印記,,,,,,,,,,,,,,-,-,-,-,-
第83位主印記,,,,,,,,,,,,,,-,-,-,-,-
第84位主印記,,,,,,,,,,,,,,-,-,-,-,-
第85位主印記,,,,,,,,,,,,,,-,-,-,-,-
第86位主印記,,,,,,,,,,,,,,-,-,-,-,-
第87位主印記,,,,,,,,,,,,,,-,-,-,-,-
第88位主印記,,,,,,,,,,,,,,-,-,-,-,-
第89位主印記,,,,,,,,,,,,,,-,-,-,-,-
第90位主印記,,,,,,,,,,,,,,-,-,-,-,-
第91位主印記,,,,,,,,,,,,,,-,-,-,-,-
第92位主印記,,,,,,,,,,,,,,-,-,-,-,-
第93位主印記,,,,,,,,,,,,,,-,-,-,-,-
第94位主印記,,,,,,,,,,,,,,-,-,-,-,-
第95位主印記,,,,,,,,,,,,,,-,-,-,-,-
第96位主印記,,,,,,,,,,,,,,-,-,-,-,-
第97位主印記,,,,,,,,,,,,,,-,-,-,-,-
第98位主印記,,,,,,,,,,,,,,-,-,-,-,-
第99位主印記,,,,,,,,,,,,,,-,-,-,-,-
第100位主印記,,,,,,,,,,,,,,-,-,-,-,-
第101位主印記,,,,,,,,,,,,,,-,-,-,-,-
第102位主印記,,,,,,,,,,,,,,-,-,-,-,-
第103位主印記,,,,,,,,,,,,,,-,-,-,-,-
第104位主印記,,,,,,,,,,,,,,-,-,-,-,-
第105位主印記,,,,,,,,,,,,,,-,-,-,-,-
第106位主印記,,,,,,,,,,,,,,-,-,-,-,-
合盤印記,0,,,,,,,,,,,,,,-,-,-,-
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
合盤印記,KIN,主印記,主印記(含波符),調性數字,調性,圖騰數字,圖騰,波符加印記城堡,波符加印記城堡銀河季節,,,,,,,,,
