瑪雅預言棋盤排列,,,,,,,,,,
水晶柱,黃種子,,,,,,,,,
13:20 共時序,,,,,,,,,,
調性,4,自我存在,,,,,,,,
圖騰,4,黃種子,,,,,,,,
13:28 週期序,,,,,,,,,,
瑪雅月,01,磁性蝙蝠之月,,,,,,,,
瑪雅日,16,"SELI 16
海底輪(流動)",,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
戰士立方體的旅程,,,,,,,,,,
綠烏龜,愛白狗之宮,忠誠提煉意志之堅不可摧,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,位置,說明,電路,盧恩符文,象徵,說明,瑪雅情人節,,
神聖陰性Bolon Ink紅皇后 ,白烏龜,23,"太陽預言流
潛意識位面
天堂之旅",電路3：預言遊戲棋盤，地球發聲管道,,,,,,
"神聖陽性
Pocal Votan國王",黃烏龜,16,"預言 4（天國的階梯）
消失的第三世代
Kin196 
磁性黃戰士
眉心輪增生",電路3：預言遊戲棋盤，地球發聲管道,Perthro聖杯 ,記憶之井，蛻變阿凡達,目前有強烈的直覺力 ，生命正有個未知的驚喜正在揭示中，生命的可能性正在轉變中情緒狀態不定、變化多端、易受環?及人事物頻率共振連結,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
金字塔,圖騰,星際原型,家族,脈輪,行星,行星說明,流,電路,電路說明,BMU
綠色金字塔,黃種子,純真的人,通道家族,海底輪,木星,成就/覺知打開視野之門,銀河業力流(GK),電路5：吸收智能,感知活動被內化，在外化的電路中進行最後的流動。,90
紅色金字塔,紅地球,領航者,核心家族,心輪,天王星,心靈打開導航/共時之門,太陽預言流(SP),電路3：預言遊戲棋盤，地球發聲管道,雙心電感應電路，是太陽系整個發聲管道系統的核心部分。,396
白色金字塔,白巫師,巫師,通道家族,海底輪,馬爾戴克星,性/生命力打開永恆之門,太陽預言流(SP),電路5：吸收智能,感知活動被內化，在外化的電路中進行最後的流動。,276
藍色金字塔,藍鷹,先知,極性家族,頂輪,木星,成就/覺知打開視野之門,太陽預言流(SP),電路5：吸收智能,感知活動被內化，在外化的電路中進行最後的流動。,282
黃色金字塔,黃太陽,開悟者,極性家族,頂輪,冥王星,擺脫蒙昧打開自然運生之門,銀河業力流(GK),電路1：阿爾法‧歐米茄充電電路,元意識電路，是最高級別意識的微小平台與整個星系的順序相連接。,414
