國曆生日,月日,瑪雅生日,時間矩陣位置
07月26日,07/26,01.01,V1:H1
07月27日,07/27,01.02,V2:H1
07月28日,07/28,01.03,V3:H1
07月29日,07/29,01.04,V4:H1
07月30日,07/30,01.05,V5:H1
07月31日,07/31,01.06,V6:H1
08月01日,08/01,01.07,V7:H1
08月02日,08/02,01.08,V15:H1
08月03日,08/03,01.09,V16:H1
08月04日,08/04,01.10,V17:H1
08月05日,08/05,01.11,V18:H1
08月06日,08/06,01.12,V19:H1
08月07日,08/07,01.13,V20:H1
08月08日,08/08,01.14,V21:H1
08月09日,08/09,01.15,V1:H15
08月10日,08/10,01.16,V2:H15
08月11日,08/11,01.17,V3:H15
08月12日,08/12,01.18,V4:H15
08月13日,08/13,01.19,V5:H15
08月14日,08/14,01.20,V6:H15
08月15日,08/15,01.21,V7:H15
08月16日,08/16,01.22,V15:H15
08月17日,08/17,01.23,V16:H15
08月18日,08/18,01.24,V17:H15
08月19日,08/19,01.25,V18:H15
08月20日,08/20,01.26,V19:H15
08月21日,08/21,01.27,V20:H15
08月22日,08/22,01.28,V21:H15
08月23日,08/23,02.01,V1:H2
08月24日,08/24,02.02,V2:H2
08月25日,08/25,02.03,V3:H2
08月26日,08/26,02.04,V4:H2
08月27日,08/27,02.05,V5:H2
08月28日,08/28,02.06,V6:H2
08月29日,08/29,02.07,V7:H2
08月30日,08/30,02.08,V15:H2
08月31日,08/31,02.09,V16:H2
09月01日,09/01,02.10,V17:H2
09月02日,09/02,02.11,V18:H2
09月03日,09/03,02.12,V19:H2
09月04日,09/04,02.13,V20:H2
09月05日,09/05,02.14,V21:H2
09月06日,09/06,02.15,V1:H16
09月07日,09/07,02.16,V2:H16
09月08日,09/08,02.17,V3:H16
09月09日,09/09,02.18,V4:H16
09月10日,09/10,02.19,V5:H16
09月11日,09/11,02.20,V6:H16
09月12日,09/12,02.21,V7:H16
09月13日,09/13,02.22,V15:H16
09月14日,09/14,02.23,V16:H16
09月15日,09/15,02.24,V17:H16
09月16日,09/16,02.25,V18:H16
09月17日,09/17,02.26,V19:H16
09月18日,09/18,02.27,V20:H16
09月19日,09/19,02.28,V21:H16
09月20日,09/20,03.01,V1:H3
09月21日,09/21,03.02,V2:H3
09月22日,09/22,03.03,V3:H3
09月23日,09/23,03.04,V4:H3
09月24日,09/24,03.05,V5:H3
09月25日,09/25,03.06,V6:H3
09月26日,09/26,03.07,V7:H3
09月27日,09/27,03.08,V15:H3
09月28日,09/28,03.09,V16:H3
09月29日,09/29,03.10,V17:H3
09月30日,09/30,03.11,V18:H3
10月01日,10/01,03.12,V19:H3
10月02日,10/02,03.13,V20:H3
10月03日,10/03,03.14,V21:H3
10月04日,10/04,03.15,V1:H17
10月05日,10/05,03.16,V2:H17
10月06日,10/06,03.17,V3:H17
10月07日,10/07,03.18,V4:H17
10月08日,10/08,03.19,V5:H17
10月09日,10/09,03.20,V6:H17
10月10日,10/10,03.21,V7:H17
10月11日,10/11,03.22,V15:H17
10月12日,10/12,03.23,V16:H17
10月13日,10/13,03.24,V17:H17
10月14日,10/14,03.25,V18:H17
10月15日,10/15,03.26,V19:H17
10月16日,10/16,03.27,V20:H17
10月17日,10/17,03.28,V21:H17
10月18日,10/18,04.01,V1:H4
10月19日,10/19,04.02,V2:H4
